epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-30,471,AC,,12,state,85556,9564.9938,30,1738,0,0.0203,894470,False,False
202126,2021-06-30,480,AL,,27,state,216717,6466.18587,516,5340,20,0.0246,3351543,False,False
202126,2021-06-30,475,AM,,13,state,402089,9555.99644,342,13313,14,0.0331,4207714,False,False
202126,2021-06-30,468,AP,,16,state,117188,13598.47663,197,1835,2,0.0157,861773,False,False
202126,2021-06-30,482,BA,,29,state,1124994,7534.80395,1683,24012,106,0.0213,14930634,False,False
202126,2021-06-30,472,CE,,23,state,886757,9652.19395,1268,22603,49,0.0255,9187103,False,False
202126,2021-06-30,481,DF,,53,state,430461,14089.68924,825,9251,19,0.0215,3055149,False,False
202126,2021-06-30,483,ES,,32,state,517985,12745.53082,1101,11479,15,0.0222,4064052,False,False
202126,2021-06-30,476,GO,,52,state,677490,9523.9501,2575,19248,71,0.0284,7113540,False,False
202126,2021-06-30,468,MA,,21,state,317446,4461.89651,839,9043,20,0.0285,7114598,False,False
202126,2021-06-30,480,MG,,31,state,1803748,8471.21727,8686,46242,281,0.0256,21292666,False,False
202126,2021-06-30,474,MS,,50,state,336087,11962.97137,676,8231,27,0.0245,2809394,False,False
202126,2021-06-30,468,MT,,51,state,452383,12829.12013,1389,12021,26,0.0266,3526220,False,False
202126,2021-06-30,470,PA,,15,state,554681,6382.43327,1744,15491,22,0.0279,8690745,False,False
202126,2021-06-30,476,PB,,25,state,396442,9814.67723,1733,8606,20,0.0217,4039277,False,False
202126,2021-06-30,476,PE,,26,state,550292,5722301,975,17685,45,0.0321,9616621,False,False
202126,2021-06-30,469,PI,,22,state,296389,9032.17451,608,6624,27,0.0223,3281480,False,False
202126,2021-06-30,476,PR,,41,state,1284806,11155.88998,5789,30711,201,0.0239,11516840,False,False
202126,2021-06-30,483,RJ,,33,state,958199,5517.61241,775,55470,133,0.0579,17366189,False,False
202126,2021-06-30,476,RN,,24,state,343352,9715.22269,3187,6797,29,0.0198,3534165,False,False
202126,2021-06-30,468,RO,,11,state,247607,13783.05111,202,6136,5,0.0248,1796460,False,False
202126,2021-06-30,467,RR,,14,state,112643,17846.38638,510,1747,2,0.0155,631181,False,False
202126,2021-06-30,478,RS,,43,state,1215519,10641.00388,1229,31398,118,0.0258,11422973,False,False
202126,2021-06-30,476,SC,,42,state,1052455,14511.61268,1591,16861,37,16,7252502,False,False
202126,2021-06-30,474,SE,,28,state,263512,11364.04605,398,5698,17,0.0216,2318822,False,False
202126,2021-06-30,492,SP,,35,state,3727348,8052.2828,7762,127681,744,0.0343,46289333,False,False
202126,2021-06-30,470,TO,,17,state,198150,12460.32065,514,3227,14,0.0163,1590248,False,False
202126,2021-06-29,470,AC,,12,state,85526,9561.63985,30,1738,2,0.0203,894470,False,False
202126,2021-06-29,479,AL,,27,state,216201,6450.78998,709,5320,19,0.0246,3351543,False,False
202126,2021-06-29,474,AM,,13,state,401747,9547.86851,552,13299,17,0.0331,4207714,False,False
202126,2021-06-29,467,AP,,16,state,116991,13575.61678,135,1833,1,0.0157,861773,False,False
202126,2021-06-29,481,BA,,29,state,1123311,7523.53182,2903,23906,89,0.0213,14930634,False,False
202126,2021-06-29,471,CE,,23,state,885489,9638.39199,4296,22554,100,0.0255,9187103,False,False
202126,2021-06-29,480,DF,,53,state,429636,14062.68565,618,9232,26,0.0215,3055149,False,False
202126,2021-06-29,482,ES,,32,state,516884,12718.43963,1282,11464,22,0.0222,4064052,False,False
202126,2021-06-29,475,GO,,52,state,674915,9487.75153,989,19177,97,0.0284,7113540,False,False
202126,2021-06-29,467,MA,,21,state,316607,4450.10386,1066,9023,31,0.0285,7114598,False,False
202126,2021-06-29,479,MG,,31,state,1795062,8430.42388,6337,45961,37,0.0256,21292666,False,False
202126,2021-06-29,473,MS,,50,state,335411,11938.90925,730,8204,51,0.0245,2809394,False,False
202126,2021-06-29,467,MT,,51,state,450994,12789.72951,1428,11995,31,0.0266,3526220,False,False
202126,2021-06-29,469,PA,,15,state,552937,6362.36594,1797,15469,25,28,8690745,False,False
202126,2021-06-29,475,PB,,25,state,394709,9771.77351,1783,8586,25,0.0218,4039277,False,False
202126,2021-06-29,475,PE,,26,state,549317,5712.16231,2181,17640,61,0.0321,9616621,False,False
